Restaurant Name,Cuisine,Address,Website,Menu Section , Menu Item , Description , Price,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,FISH AND SEAFOOD , PANANG KAEW SALMON , Salmon fillet topped with rich green curry sauce,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,FISH AND SEAFOOD , CHU CHI GOONG , Jumbo prawns in rich red curry sauce with kaffir leaves,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,FISH AND SEAFOOD , PLA PRIG TAI , Crispy cod fillets topped with black pepper sauce,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,FISH AND SEAFOOD , CHU CHI PLA , Crispy cod fillets topped with rich red curry sauce,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,FISH AND SEAFOOD , PLA PICK KANG , Dry red curry sauce toasted with crispy cod with wild ginger,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Veg) , KANG KIEW WAN , Green curry with coconut milk,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Veg) , KANG DANG , Red curry with coconut milk,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Veg) , PANANG , Rich red curry with coconut milk,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Veg) , KANG PA , Traditional curry w\basil,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Chicken) , KANG KIEW WAN , Green curry with coconut milk,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Chicken) , KANG DANG , Red curry with coconut milk,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Chicken) , PANANG , Rich red curry with coconut milk,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Chicken) , KANG PA , Traditional curry w\basil,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Beef) , KANG KIEW WAN , Green curry with coconut milk,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Beef) , KANG DANG , Red curry with coconut milk,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Beef) , PANANG , Rich red curry with coconut milk,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Beef) , KANG PA , Traditional curry w\basil,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Prawns) , KANG KIEW WAN , Green curry with coconut milk,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Prawns) , KANG DANG , Red curry with coconut milk,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Prawns) , PANANG , Rich red curry with coconut milk,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY (Prawns) , KANG PA , Traditional curry w\basil,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,CURRY ,,,,,
